epoch,accuracy,loss,val_accuracy,val_loss
0,0.7509999871253967,0.7647180557250977,0.8587499856948853,0.31082427501678467
1,0.8259999752044678,0.4306199848651886,0.84375,0.35211703181266785
2,0.878000020980835,0.32065045833587646,0.8087499737739563,0.4374108910560608
3,0.890999972820282,0.2573297619819641,0.8962500095367432,0.3184306025505066
4,0.9179999828338623,0.22338657081127167,0.8899999856948853,0.3648454248905182
5,0.9240000247955322,0.21428228914737701,0.90625,0.2940604090690613
6,0.9369999766349792,0.19674307107925415,0.8899999856948853,0.33285635709762573
7,0.9359999895095825,0.16228927671909332,0.8987500071525574,0.39802199602127075
8,0.9610000252723694,0.12252316623926163,0.9012500047683716,0.4023033082485199
9,0.9589999914169312,0.10001401603221893,0.8812500238418579,0.5178619027137756
